parc_name,gmd_sws_total_fdr,zALFF_sws_total_fdr,zfALFF_sws_total_fdr,zDCbin_sws_total_fdr,zDCwei_sws_total_fdr,zReHo_sws_total_fdr
17Networks_LH_SalVentAttnB_Ins_3,,,,,,
17Networks_LH_SalVentAttnB_Ins_2,,,,,,
17Networks_LH_SalVentAttnB_Ins_1,,,,,,
17Networks_LH_SalVentAttnB_PFCl_3,,,,,,
17Networks_LH_SalVentAttnB_PFCl_2,,,0.032136943545218,,,
17Networks_LH_SalVentAttnB_PFCl_1,,,0.041309255498928,,,
17Networks_LH_SalVentAttnA_FrMed_3,,,,,,
17Networks_LH_SalVentAttnA_FrMed_2,,,0.021335797044423,0.039753490952307,0.043938835791019,
17Networks_LH_SalVentAttnA_FrMed_1,,,,0.0292415330267,0.026109301883924,
17Networks_LH_SalVentAttnA_ParMed_3,,,,,,
17Networks_LH_SalVentAttnA_ParMed_2,,,,,,
17Networks_LH_SalVentAttnA_ParMed_1,,,,0.037427700577704,0.041309255498928,
17Networks_LH_SalVentAttnA_FrOper_2,,,,,,
17Networks_LH_SalVentAttnA_FrOper_1,,,,,,
17Networks_LH_SalVentAttnA_Ins_4,,,,,,
17Networks_LH_SalVentAttnA_Ins_3,,,,,,
17Networks_LH_SalVentAttnA_Ins_2,,0.021335797044423,,,,
17Networks_LH_SalVentAttnA_Ins_1,,,0.005066165310053,,,
17Networks_LH_SalVentAttnA_ParOper_3,,,,,,
17Networks_LH_SalVentAttnA_ParOper_2,,,,,,
17Networks_LH_SalVentAttnA_ParOper_1,,,,,0.048666690964411,
17Networks_LH_DorsAttnB_PrCv_1,,,,,,
17Networks_LH_DorsAttnB_FEF_3,,,,,,
17Networks_LH_DorsAttnB_FEF_2,,,,,,
17Networks_LH_DorsAttnB_FEF_1,,0.04447808578329,,,,
17Networks_LH_DorsAttnB_PostC_9,,,,,,
17Networks_LH_DorsAttnB_PostC_8,,,,,,
17Networks_LH_DorsAttnB_PostC_7,,,,,,
17Networks_LH_DorsAttnB_PostC_6,0.042786343995475,,,,,
17Networks_LH_DorsAttnB_PostC_5,,,0.014855420518547,,,
17Networks_LH_DorsAttnB_PostC_4,,,,0.04447808578329,,
17Networks_LH_DorsAttnB_PostC_3,,,,,,
17Networks_LH_DorsAttnB_PostC_2,,,0.031381608240155,,,
17Networks_LH_DorsAttnB_PostC_1,,,,0.0292415330267,0.035628445120417,
17Networks_LH_DorsAttnA_SPL_7,,,,,,
17Networks_LH_DorsAttnA_SPL_6,,,,,,
17Networks_LH_DorsAttnA_SPL_5,,,,,,
17Networks_LH_DorsAttnA_SPL_4,,,,,,
17Networks_LH_DorsAttnA_SPL_3,,,0.020950240934517,,,
17Networks_LH_DorsAttnA_SPL_2,,,,,,
17Networks_LH_DorsAttnA_SPL_1,,,,,,
17Networks_LH_DorsAttnA_ParOcc_2,,,,,,
17Networks_LH_DorsAttnA_ParOcc_1,,,,,,
17Networks_LH_DorsAttnA_TempOcc_4,,,,,,
17Networks_LH_DorsAttnA_TempOcc_3,,,,,,
17Networks_LH_DorsAttnA_TempOcc_2,,,,0.04961052048189,0.045537330800247,
17Networks_LH_DorsAttnA_TempOcc_1,,,,,,
17Networks_LH_SomMotB_Cent_5,,,,,,
17Networks_LH_SomMotB_Cent_4,,,,,,
17Networks_LH_SomMotB_Cent_3,,,0.014855420518547,,,
17Networks_LH_SomMotB_Cent_2,,,,,,
17Networks_LH_SomMotB_Cent_1,,,,,,
17Networks_LH_SomMotB_S2_6,,,,,,
17Networks_LH_SomMotB_S2_5,,,,,,
17Networks_LH_SomMotB_S2_4,,,,,,
17Networks_LH_SomMotB_S2_3,,,,,,
17Networks_LH_SomMotB_Aud_4,,,0.04750728904574,,,
17Networks_LH_SomMotB_Aud_3,,,0.04447808578329,0.04750728904574,,
17Networks_LH_SomMotB_S2_2,,,0.0292415330267,,,
17Networks_LH_SomMotB_S2_1,,,,,,
17Networks_LH_SomMotB_Ins_1,,,,,,
17Networks_LH_SomMotB_Aud_2,,,,,,
17Networks_LH_SomMotB_Aud_1,,,0.016676536868844,,,
17Networks_LH_SomMotA_19,,,,,,
17Networks_LH_SomMotA_18,,,,,,
17Networks_LH_SomMotA_17,,,,,,
17Networks_LH_SomMotA_16,,,,,,
17Networks_LH_SomMotA_15,,,,,,
17Networks_LH_SomMotA_14,,,,,,
17Networks_LH_SomMotA_13,,,,,,
17Networks_LH_SomMotA_12,,0.043261529597611,,,,0.043943963729318
17Networks_LH_SomMotA_11,0.026109301883924,,,,,
17Networks_LH_SomMotA_10,,,,,,
17Networks_LH_SomMotA_9,,0.027019146854604,,,,0.04447808578329
17Networks_LH_SomMotA_8,,0.034369527745088,,,,0.044540428762109
17Networks_LH_SomMotA_7,,,,,,
17Networks_LH_SomMotA_6,,,,,,
17Networks_LH_SomMotA_5,,,,,,0.011554573367279
17Networks_LH_SomMotA_4,,,,,,
17Networks_LH_SomMotA_3,,,,,,
17Networks_LH_SomMotA_2,,,,,,
17Networks_LH_SomMotA_1,,0.03859447712233,0.041200082241088,,,
17Networks_LH_VisPeri_ExStrSup_5,,,,,,
17Networks_LH_VisPeri_ExStrSup_4,,,,,,
17Networks_LH_VisPeri_ExStrSup_3,,,,,,
17Networks_LH_VisPeri_ExStrSup_2,,,,,,
17Networks_LH_VisPeri_ExStrSup_1,,,,,,
17Networks_LH_VisPeri_StriCal_2,,,,,,
17Networks_LH_VisPeri_StriCal_1,,,,,,
17Networks_LH_VisPeri_ExStrInf_5,,,,,,
17Networks_LH_VisPeri_ExStrInf_4,,,,,,
17Networks_LH_VisPeri_ExStrInf_3,,,,,,
17Networks_LH_VisPeri_ExStrInf_2,,,,,,
17Networks_LH_VisPeri_ExStrInf_1,,,,,,
17Networks_LH_VisCent_ExStr_11,,,,,,
17Networks_LH_VisCent_ExStr_10,,,,,,
17Networks_LH_VisCent_ExStr_9,,,,,,
17Networks_LH_VisCent_ExStr_8,,,,,,
17Networks_LH_VisCent_ExStr_7,,,,,,
17Networks_LH_VisCent_Striate_1,,,0.04447808578329,,,
17Networks_LH_VisCent_ExStr_6,,,,,,
17Networks_LH_VisCent_ExStr_5,,,,,,
17Networks_LH_VisCent_ExStr_4,,,,,,
17Networks_LH_VisCent_ExStr_3,,,,,,
17Networks_LH_VisCent_ExStr_2,,,,,,
17Networks_LH_VisCent_ExStr_1,,,,,,
total_significant_values,14,42,125,28,27,18
