parc_name,parcel_name,zALFF_sws_fa_r,zDCbin_sws_fa_r,zDCwei_sws_fa_r,zfALFF_sws_fa_r,zReHo_sws_fa_r,gmd_sws_fa_r,sws_fa
lAmyg_R,zReHo_lAmyg_Rgmd_lAmyg_RzfALFF_lAmyg_RzALFF_lAmyg_RzDCwei_lAmyg_RzDCbin_lAmyg_R,-0.012925126625766,0.035019161155616,0.041190618398742,0.223444013697495,0.133785453166974,0.023618159981192,0.444132279774253
lAmyg_L,zReHo_lAmyg_Lgmd_lAmyg_LzfALFF_lAmyg_LzALFF_lAmyg_LzDCwei_lAmyg_LzDCbin_lAmyg_L,-0.021160638323538,0.038206684203498,0.041645017436573,0.165115025718515,0.073244670017644,-0.125488618665191,0.171562140387501
mAmyg_R,zReHo_mAmyg_Rgmd_mAmyg_RzfALFF_mAmyg_RzALFF_mAmyg_RzDCwei_mAmyg_RzDCbin_mAmyg_R,-0.016942230145634,0.04523692712116,0.071371848296477,0.291929024502738,0.075687139597334,-0.043815616719812,0.423467092652263
mAmyg_L,zReHo_mAmyg_Lgmd_mAmyg_LzfALFF_mAmyg_LzALFF_mAmyg_LzDCwei_mAmyg_LzDCbin_mAmyg_L,-0.10623838154279,0.032343911610433,0.032303564535882,0.293198236651821,0.206101026730678,-0.099951203522874,0.35775715446315
17Networks_RH_TempPar_10,zReHo_17Networks_RH_TempPar_10gmd_17Networks_RH_TempPar_10zfALFF_17Networks_RH_TempPar_10zALFF_17Networks_RH_TempPar_10zDCwei_17Networks_RH_TempPar_10zDCbin_17Networks_RH_TempPar_10,-0.006771883335119,-0.105569982893957,-0.089333911876853,0.073579449120651,-0.071318929264304,-0.027221479361252,-0.226636737610834
17Networks_RH_TempPar_9,zReHo_17Networks_RH_TempPar_9gmd_17Networks_RH_TempPar_9zfALFF_17Networks_RH_TempPar_9zALFF_17Networks_RH_TempPar_9zDCwei_17Networks_RH_TempPar_9zDCbin_17Networks_RH_TempPar_9,-0.025895300556133,-0.197265325600732,-0.173343133216407,0.096037397596278,-0.014757338402533,0.092819459884632,-0.222404240294895
17Networks_RH_TempPar_8,zReHo_17Networks_RH_TempPar_8gmd_17Networks_RH_TempPar_8zfALFF_17Networks_RH_TempPar_8zALFF_17Networks_RH_TempPar_8zDCwei_17Networks_RH_TempPar_8zDCbin_17Networks_RH_TempPar_8,-0.043307576060412,-0.133730822526798,-0.118188151801754,0.023965479488035,0.032492385248061,-0.115130516086897,-0.353899201739765
17Networks_RH_TempPar_7,zReHo_17Networks_RH_TempPar_7gmd_17Networks_RH_TempPar_7zfALFF_17Networks_RH_TempPar_7zALFF_17Networks_RH_TempPar_7zDCwei_17Networks_RH_TempPar_7zDCbin_17Networks_RH_TempPar_7,-0.098871243689966,-0.136555482434879,-0.123388434798914,0.032199139325398,0.053915137911892,-0.015086449370689,-0.287787333057158
17Networks_RH_TempPar_6,zReHo_17Networks_RH_TempPar_6gmd_17Networks_RH_TempPar_6zfALFF_17Networks_RH_TempPar_6zALFF_17Networks_RH_TempPar_6zDCwei_17Networks_RH_TempPar_6zDCbin_17Networks_RH_TempPar_6,-0.147129456320654,-0.049567032996937,-0.042239275649357,-0.024616436806169,-0.01660124275276,0.018117045494301,-0.262036399031576
17Networks_RH_TempPar_5,zReHo_17Networks_RH_TempPar_5gmd_17Networks_RH_TempPar_5zfALFF_17Networks_RH_TempPar_5zALFF_17Networks_RH_TempPar_5zDCwei_17Networks_RH_TempPar_5zDCbin_17Networks_RH_TempPar_5,-0.178058105718974,-0.147010157790098,-0.155570812007708,-0.038874976570663,0.063411103484969,0.097928686069205,-0.358174262533269
17Networks_RH_TempPar_4,zReHo_17Networks_RH_TempPar_4gmd_17Networks_RH_TempPar_4zfALFF_17Networks_RH_TempPar_4zALFF_17Networks_RH_TempPar_4zDCwei_17Networks_RH_TempPar_4zDCbin_17Networks_RH_TempPar_4,-0.131576212701704,-0.233493054881781,-0.225676581703875,0.020923097226471,0.049665844767044,-0.004867967524754,-0.525024874818599
17Networks_RH_TempPar_3,zReHo_17Networks_RH_TempPar_3gmd_17Networks_RH_TempPar_3zfALFF_17Networks_RH_TempPar_3zALFF_17Networks_RH_TempPar_3zDCwei_17Networks_RH_TempPar_3zDCbin_17Networks_RH_TempPar_3,-0.133711102690758,-0.12045163178367,-0.131713939836,-0.0513097320837,-0.044072021558137,0.189451127903634,-0.291807300048631
17Networks_RH_TempPar_2,zReHo_17Networks_RH_TempPar_2gmd_17Networks_RH_TempPar_2zfALFF_17Networks_RH_TempPar_2zALFF_17Networks_RH_TempPar_2zDCwei_17Networks_RH_TempPar_2zDCbin_17Networks_RH_TempPar_2,-0.083851722092588,-0.146192397398768,-0.151215799242616,-0.005555556025627,-0.058655545390139,0.126141637685911,-0.319329382463827
17Networks_RH_TempPar_1,zReHo_17Networks_RH_TempPar_1gmd_17Networks_RH_TempPar_1zfALFF_17Networks_RH_TempPar_1zALFF_17Networks_RH_TempPar_1zDCwei_17Networks_RH_TempPar_1zDCbin_17Networks_RH_TempPar_1,0.021435270089654,0.119230686497539,0.12062281375024,0.124408701556155,0.093610292112998,0.056887784546237,0.536195548552823
17Networks_RH_DefaultC_PHC_2,zReHo_17Networks_RH_DefaultC_PHC_2gmd_17Networks_RH_DefaultC_PHC_2zfALFF_17Networks_RH_DefaultC_PHC_2zALFF_17Networks_RH_DefaultC_PHC_2zDCwei_17Networks_RH_DefaultC_PHC_2zDCbin_17Networks_RH_DefaultC_PHC_2,-0.196436618175212,-0.245551954559369,-0.247086331256357,-0.137068194418776,0.022776714653338,0.046736885361486,-0.75662949839489
