,gmd_sws_rs_fdr,gmd_sws_rs_p,gmd_sws_rs_r,parc_name,parcel_name,sws_rs,zALFF_sws_rs_fdr,zALFF_sws_rs_p,zALFF_sws_rs_r,zDCbin_sws_rs_fdr,zDCbin_sws_rs_p,zDCbin_sws_rs_r,zDCwei_sws_rs_fdr,zDCwei_sws_rs_p,zDCwei_sws_rs_r,zReHo_sws_rs_fdr,zReHo_sws_rs_p,zReHo_sws_rs_r,zfALFF_sws_rs_bonferroni,zfALFF_sws_rs_fdr,zfALFF_sws_rs_p,zfALFF_sws_rs_r
386,,0.080705357508895,-0.162144515576066,17Networks_LH_DorsAttnA_SPL_2,zReHo_17Networks_LH_DorsAttnA_SPL_2gmd_17Networks_LH_DorsAttnA_SPL_2zfALFF_17Networks_LH_DorsAttnA_SPL_2zALFF_17Networks_LH_DorsAttnA_SPL_2zDCwei_17Networks_LH_DorsAttnA_SPL_2zDCbin_17Networks_LH_DorsAttnA_SPL_2,0.199619234057598,,0.099094276239293,0.153217527245263,,0.249759738485883,0.107248077198272,,0.215727896194942,0.115306018622711,,0.592583857906415,-0.049975229471771,,,0.700241860348438,0.035967356039189
387,,0.565534698503412,-0.053663361911486,17Networks_LH_DorsAttnA_SPL_1,zReHo_17Networks_LH_DorsAttnA_SPL_1gmd_17Networks_LH_DorsAttnA_SPL_1zfALFF_17Networks_LH_DorsAttnA_SPL_1zALFF_17Networks_LH_DorsAttnA_SPL_1zDCwei_17Networks_LH_DorsAttnA_SPL_1zDCbin_17Networks_LH_DorsAttnA_SPL_1,-0.041569441389955,0.038744994339704,0.026562109789357,0.205061819231106,,0.200896346646952,-0.119101156522661,,0.274705450507303,-0.101812747511596,,0.718735179326373,0.033647684744233,,,0.951350113255016,-0.005701679419551
388,,0.409299697843492,-0.07699633564945,17Networks_LH_DorsAttnA_ParOcc_2,zReHo_17Networks_LH_DorsAttnA_ParOcc_2gmd_17Networks_LH_DorsAttnA_ParOcc_2zfALFF_17Networks_LH_DorsAttnA_ParOcc_2zALFF_17Networks_LH_DorsAttnA_ParOcc_2zDCwei_17Networks_LH_DorsAttnA_ParOcc_2zDCbin_17Networks_LH_DorsAttnA_ParOcc_2,-0.154188669842829,,0.93130826929267,-0.008055455197213,,0.68513706768235,0.03787831393571,,0.638919931859542,0.043828141726376,,0.907052488320062,-0.010911031121035,,,0.132385203804664,-0.139932303537217
389,,0.452786662799684,-0.070076385468362,17Networks_LH_DorsAttnA_ParOcc_1,zReHo_17Networks_LH_DorsAttnA_ParOcc_1gmd_17Networks_LH_DorsAttnA_ParOcc_1zfALFF_17Networks_LH_DorsAttnA_ParOcc_1zALFF_17Networks_LH_DorsAttnA_ParOcc_1zDCwei_17Networks_LH_DorsAttnA_ParOcc_1zDCbin_17Networks_LH_DorsAttnA_ParOcc_1,-0.247391409193357,,0.068758906296363,0.16886168607453,,0.17205361617139,-0.127104952802065,,0.132395788142679,-0.139928514362165,,0.079332348978227,-0.162874070204905,,,0.369430434369035,0.08373082756961
390,,0.55389376093893,0.05527607392385,17Networks_LH_DorsAttnA_TempOcc_4,zReHo_17Networks_LH_DorsAttnA_TempOcc_4gmd_17Networks_LH_DorsAttnA_TempOcc_4zfALFF_17Networks_LH_DorsAttnA_TempOcc_4zALFF_17Networks_LH_DorsAttnA_TempOcc_4zDCwei_17Networks_LH_DorsAttnA_TempOcc_4zDCbin_17Networks_LH_DorsAttnA_TempOcc_4,-0.37687543927403,,0.563573152408797,-0.053933991917568,,0.235466602698899,-0.110532499404164,,0.212721666503316,-0.11605984213265,,0.200773805960874,-0.11913333693618,,,0.728011839500232,-0.032491842807318
391,,0.163761716854207,0.129587321137068,17Networks_LH_DorsAttnA_TempOcc_3,zReHo_17Networks_LH_DorsAttnA_TempOcc_3gmd_17Networks_LH_DorsAttnA_TempOcc_3zfALFF_17Networks_LH_DorsAttnA_TempOcc_3zALFF_17Networks_LH_DorsAttnA_TempOcc_3zDCwei_17Networks_LH_DorsAttnA_TempOcc_3zDCbin_17Networks_LH_DorsAttnA_TempOcc_3,-0.076284037459096,,0.924828735960918,0.008817440380446,,0.447146867286766,-0.070951833831777,,0.483674214729339,-0.065385173260356,,0.339719425343162,-0.089044428044278,,,0.908904843157864,0.010692636159801
392,,0.609210931593225,0.047746133375458,17Networks_LH_DorsAttnA_TempOcc_2,zReHo_17Networks_LH_DorsAttnA_TempOcc_2gmd_17Networks_LH_DorsAttnA_TempOcc_2zfALFF_17Networks_LH_DorsAttnA_TempOcc_2zALFF_17Networks_LH_DorsAttnA_TempOcc_2zDCwei_17Networks_LH_DorsAttnA_TempOcc_2zDCbin_17Networks_LH_DorsAttnA_TempOcc_2,-0.36168643122137,,0.568178696300197,-0.05329927859215,,0.140279934482388,-0.13716802645587,,0.148616680900496,-0.134374342199935,,0.068643242442798,-0.168931187088815,,,0.365944025589191,0.084340269739942
393,,0.261629402949522,0.104617793184161,17Networks_LH_DorsAttnA_TempOcc_1,zReHo_17Networks_LH_DorsAttnA_TempOcc_1gmd_17Networks_LH_DorsAttnA_TempOcc_1zfALFF_17Networks_LH_DorsAttnA_TempOcc_1zALFF_17Networks_LH_DorsAttnA_TempOcc_1zDCwei_17Networks_LH_DorsAttnA_TempOcc_1zDCbin_17Networks_LH_DorsAttnA_TempOcc_1,-0.140605218534304,,0.83127836196368,-0.019909426130183,,0.400156160033395,-0.078504869055382,,0.370465834211772,-0.083550515014239,,0.129480653360582,-0.140981001008767,,,0.404881229014649,0.077722799490106
394,,0.720616315557861,0.033412895511835,17Networks_LH_SomMotB_Cent_5,zReHo_17Networks_LH_SomMotB_Cent_5gmd_17Networks_LH_SomMotB_Cent_5zfALFF_17Networks_LH_SomMotB_Cent_5zALFF_17Networks_LH_SomMotB_Cent_5zDCwei_17Networks_LH_SomMotB_Cent_5zDCbin_17Networks_LH_SomMotB_Cent_5,0.171442375384889,,0.15759279818319,0.131495452251006,,0.911912921601941,-0.010338102163308,,0.813464195966967,-0.022048527388414,,0.299551040893139,-0.096720739025136,,,0.144790489511609,0.135641396198906
395,,0.357110156094559,0.085900690161563,17Networks_LH_SomMotB_Cent_4,zReHo_17Networks_LH_SomMotB_Cent_4gmd_17Networks_LH_SomMotB_Cent_4zfALFF_17Networks_LH_SomMotB_Cent_4zALFF_17Networks_LH_SomMotB_Cent_4zDCwei_17Networks_LH_SomMotB_Cent_4zDCbin_17Networks_LH_SomMotB_Cent_4,-0.001343480084924,,0.19907410304227,0.119581162353669,,0.89408872741858,-0.012441189326376,,0.570119374350872,-0.053032552578234,,0.456596426046306,-0.069488444883022,,,0.441318149928786,-0.071863145812524
