parc_name,parcel_name,zALFF_sws_rw_p,zDCbin_sws_rw_p,zDCwei_sws_rw_p,zfALFF_sws_rw_p,zReHo_sws_rw_p,gmd_sws_rw_p,sws_rw
17Networks_RH_DefaultB_PFCv_3,zReHo_17Networks_RH_DefaultB_PFCv_3gmd_17Networks_RH_DefaultB_PFCv_3zfALFF_17Networks_RH_DefaultB_PFCv_3zALFF_17Networks_RH_DefaultB_PFCv_3zDCwei_17Networks_RH_DefaultB_PFCv_3zDCbin_17Networks_RH_DefaultB_PFCv_3,0.619425406090776,0.459535503408735,0.402889952349381,0.271499499907435,0.048307600423615,0.878924211909892,2.68058217408983
17Networks_RH_DefaultB_PFCv_2,zReHo_17Networks_RH_DefaultB_PFCv_2gmd_17Networks_RH_DefaultB_PFCv_2zfALFF_17Networks_RH_DefaultB_PFCv_2zALFF_17Networks_RH_DefaultB_PFCv_2zDCwei_17Networks_RH_DefaultB_PFCv_2zDCbin_17Networks_RH_DefaultB_PFCv_2,0.800741627505883,0.090430092902724,0.033734999204546,0.277455658028872,0.006911189732446,0.633095896357927,1.8423694637324
17Networks_RH_DefaultB_PFCv_1,zReHo_17Networks_RH_DefaultB_PFCv_1gmd_17Networks_RH_DefaultB_PFCv_1zfALFF_17Networks_RH_DefaultB_PFCv_1zALFF_17Networks_RH_DefaultB_PFCv_1zDCwei_17Networks_RH_DefaultB_PFCv_1zDCbin_17Networks_RH_DefaultB_PFCv_1,0.943756012737295,0.176043620663411,0.204163056802383,0.61684830745276,0.086600805146761,0.103237381332874,2.13064918413548
17Networks_RH_DefaultB_PFCd_5,zReHo_17Networks_RH_DefaultB_PFCd_5gmd_17Networks_RH_DefaultB_PFCd_5zfALFF_17Networks_RH_DefaultB_PFCd_5zALFF_17Networks_RH_DefaultB_PFCd_5zDCwei_17Networks_RH_DefaultB_PFCd_5zDCbin_17Networks_RH_DefaultB_PFCd_5,0.856189099967116,0.856078767859058,0.682015456353987,0.641646617152719,0.324406177619162,0.262631004616636,3.62296712356868
17Networks_RH_DefaultB_PFCd_4,zReHo_17Networks_RH_DefaultB_PFCd_4gmd_17Networks_RH_DefaultB_PFCd_4zfALFF_17Networks_RH_DefaultB_PFCd_4zALFF_17Networks_RH_DefaultB_PFCd_4zDCwei_17Networks_RH_DefaultB_PFCd_4zDCbin_17Networks_RH_DefaultB_PFCd_4,0.430232289145909,0.747206429543425,0.373830139686494,0.954222161309053,0.449628917919339,0.413385102532275,3.36850504013649
17Networks_RH_DefaultB_PFCd_3,zReHo_17Networks_RH_DefaultB_PFCd_3gmd_17Networks_RH_DefaultB_PFCd_3zfALFF_17Networks_RH_DefaultB_PFCd_3zALFF_17Networks_RH_DefaultB_PFCd_3zDCwei_17Networks_RH_DefaultB_PFCd_3zDCbin_17Networks_RH_DefaultB_PFCd_3,0.569536376608328,0.314210937300162,0.199843034512012,0.525672190068107,0.764681917304739,0.757723386164401,3.13166784195775
17Networks_RH_DefaultB_PFCd_2,zReHo_17Networks_RH_DefaultB_PFCd_2gmd_17Networks_RH_DefaultB_PFCd_2zfALFF_17Networks_RH_DefaultB_PFCd_2zALFF_17Networks_RH_DefaultB_PFCd_2zDCwei_17Networks_RH_DefaultB_PFCd_2zDCbin_17Networks_RH_DefaultB_PFCd_2,0.363645877207568,0.538041236705668,0.268114130036024,0.758761758326572,0.155876865270712,0.757740494017442,2.84218036156399
17Networks_RH_DefaultB_PFCd_1,zReHo_17Networks_RH_DefaultB_PFCd_1gmd_17Networks_RH_DefaultB_PFCd_1zfALFF_17Networks_RH_DefaultB_PFCd_1zALFF_17Networks_RH_DefaultB_PFCd_1zDCwei_17Networks_RH_DefaultB_PFCd_1zDCbin_17Networks_RH_DefaultB_PFCd_1,0.869591279229061,0.415965363859541,0.281374610212237,0.307404192629393,0.21779315874317,0.712745754572677,2.80487435924608
17Networks_RH_DefaultB_AntTemp_1,zReHo_17Networks_RH_DefaultB_AntTemp_1gmd_17Networks_RH_DefaultB_AntTemp_1zfALFF_17Networks_RH_DefaultB_AntTemp_1zALFF_17Networks_RH_DefaultB_AntTemp_1zDCwei_17Networks_RH_DefaultB_AntTemp_1zDCbin_17Networks_RH_DefaultB_AntTemp_1,0.591728845853557,0.063899766980933,0.041407400772092,0.870104327476438,0.844405016602319,0.015679874078138,2.42722523176348
17Networks_RH_DefaultB_Temp_2,zReHo_17Networks_RH_DefaultB_Temp_2gmd_17Networks_RH_DefaultB_Temp_2zfALFF_17Networks_RH_DefaultB_Temp_2zALFF_17Networks_RH_DefaultB_Temp_2zDCwei_17Networks_RH_DefaultB_Temp_2zDCbin_17Networks_RH_DefaultB_Temp_2,0.722747337223982,0.522836658996795,0.486574071513364,0.078586765313248,0.705294351925147,0.635037210886905,3.15107639585944
