parc_name,parcel_name,gmd_sws_total_fdr,zALFF_sws_total_fdr,zDCbin_sws_total_fdr,zDCwei_sws_total_fdr,zfALFF_sws_total_fdr,zReHo_sws_total_fdr,sws_total
rTtha_R,zfALFF_rTtha_R,,,,,0.035628445120417,,0.035628445120417
rTtha_L,zfALFF_rTtha_L,,,,,0.042336998359683,,0.042336998359683
Stha_R,zfALFF_Stha_R,,,,,0.032136943545218,,0.032136943545218
Stha_L,zfALFF_Stha_L,,,,,0.038103752608513,,0.038103752608513
mPMtha_L,zfALFF_mPMtha_LzDCwei_mPMtha_LzDCbin_mPMtha_L,0,0,0.036364928127434,0.03444788297338,0.033089177551158,0,0.103901988651972
mPFtha_L,zfALFF_mPFtha_L,,,,,0.04961052048189,,0.04961052048189
rHipp_R,zfALFF_rHipp_R,,,,,0.033089177551158,,0.033089177551158
rHipp_L,zfALFF_rHipp_L,,,,,0.006447047112337,,0.006447047112337
lAmyg_R,zfALFF_lAmyg_R,,,,,0.029898253386518,,0.029898253386518
lAmyg_L,zfALFF_lAmyg_L,,,,,0.03444788297338,,0.03444788297338
mAmyg_R,zfALFF_mAmyg_R,,,,,0.014855420518547,,0.014855420518547
dCa_L,zALFF_dCa_L,,0.048666690964411,,,,,0.048666690964411
17Networks_RH_DefaultB_PFCd_3,zfALFF_17Networks_RH_DefaultB_PFCd_3,,,,,0.0292415330267,,0.0292415330267
17Networks_RH_DefaultB_Temp_1,zfALFF_17Networks_RH_DefaultB_Temp_1,,,,,0.04447808578329,,0.04447808578329
17Networks_RH_DefaultA_PFCm_4,zfALFF_17Networks_RH_DefaultA_PFCm_4,,,,,0.0292415330267,,0.0292415330267
17Networks_RH_DefaultA_PFCd_2,zfALFF_17Networks_RH_DefaultA_PFCd_2,,,,,0.040288662266737,,0.040288662266737
17Networks_RH_DefaultA_PFCd_1,zfALFF_17Networks_RH_DefaultA_PFCd_1zALFF_17Networks_RH_DefaultA_PFCd_1,0,0.04447808578329,0,0,0.014855420518547,0,0.059333506301837
17Networks_RH_DefaultA_IPL_1,zfALFF_17Networks_RH_DefaultA_IPL_1,,,,,0.03444788297338,,0.03444788297338
17Networks_RH_ContC_pCun_4,zfALFF_17Networks_RH_ContC_pCun_4,,,,,0.043086750990909,,0.043086750990909
17Networks_RH_ContC_pCun_2,zfALFF_17Networks_RH_ContC_pCun_2,,,,,0.04447808578329,,0.04447808578329
17Networks_RH_ContB_PFCmp_1,zfALFF_17Networks_RH_ContB_PFCmp_1,,,,,0.027869800286828,,0.027869800286828
17Networks_RH_ContB_PFClv_4,zfALFF_17Networks_RH_ContB_PFClv_4,,,,,0.027869800286828,,0.027869800286828
17Networks_RH_ContB_PFCld_3,zfALFF_17Networks_RH_ContB_PFCld_3,,,,,0.035628445120417,,0.035628445120417
17Networks_RH_ContB_PFCld_1,zfALFF_17Networks_RH_ContB_PFCld_1,,,,,0.0292415330267,,0.0292415330267
