parc_name,parcel_name,gmd_sws_rs_fdr,zALFF_sws_rs_fdr,zDCbin_sws_rs_fdr,zDCwei_sws_rs_fdr,zfALFF_sws_rs_fdr,zReHo_sws_rs_fdr,sws_rs
17Networks_LH_ContB_PFClv_3,zfALFF_17Networks_LH_ContB_PFClv_3,,,,,0.029966338461414,,0.029966338461414
17Networks_LH_ContB_PFClv_2,zfALFF_17Networks_LH_ContB_PFClv_2,,,,,0.030358802440932,,0.030358802440932
17Networks_LH_ContA_PFCl_3,zfALFF_17Networks_LH_ContA_PFCl_3,,,,,0.037716748562454,,0.037716748562454
17Networks_LH_ContA_IPS_1,zfALFF_17Networks_LH_ContA_IPS_1,,,,,0.035622321478708,,0.035622321478708
17Networks_LH_LimbicA_TempPole_6,zfALFF_17Networks_LH_LimbicA_TempPole_6,,,,,0.007178888636167,,0.007178888636167
17Networks_LH_LimbicA_TempPole_5,zfALFF_17Networks_LH_LimbicA_TempPole_5,,,,,0.030358802440932,,0.030358802440932
17Networks_LH_LimbicA_TempPole_3,zfALFF_17Networks_LH_LimbicA_TempPole_3,,,,,0.046952526094726,,0.046952526094726
17Networks_LH_LimbicA_TempPole_2,zfALFF_17Networks_LH_LimbicA_TempPole_2,,,,,0.015864959883771,,0.015864959883771
17Networks_LH_LimbicA_TempPole_1,zfALFF_17Networks_LH_LimbicA_TempPole_1,,,,,0.027339154916707,,0.027339154916707
17Networks_LH_SalVentAttnB_PFCmp_1,zfALFF_17Networks_LH_SalVentAttnB_PFCmp_1zDCwei_17Networks_LH_SalVentAttnB_PFCmp_1zDCbin_17Networks_LH_SalVentAttnB_PFCmp_1,0,0,0.041923420074786,0.048698122387618,0.023713814552574,0,0.114335357014978
17Networks_LH_SalVentAttnB_PFCl_1,zfALFF_17Networks_LH_SalVentAttnB_PFCl_1,,,,,0.028508110230768,,0.028508110230768
17Networks_LH_SalVentAttnA_FrMed_2,zfALFF_17Networks_LH_SalVentAttnA_FrMed_2zDCwei_17Networks_LH_SalVentAttnA_FrMed_2,0,0,0,0.048731299514135,0.01067433583144,0,0.059405635345575
17Networks_LH_SalVentAttnA_Ins_1,zfALFF_17Networks_LH_SalVentAttnA_Ins_1,,,,,0.00364968431614,,0.00364968431614
17Networks_LH_DorsAttnB_PostC_5,zfALFF_17Networks_LH_DorsAttnB_PostC_5,,,,,0.040231940452823,,0.040231940452823
17Networks_LH_DorsAttnB_PostC_2,zfALFF_17Networks_LH_DorsAttnB_PostC_2,,,,,0.023518087658853,,0.023518087658853
