bids_name	aor	aqi	dummy_trs	dvars_nstd	dvars_std	dvars_vstd	efc	fber	fd_mean	fd_num	fd_perc	fwhm_avg	fwhm_x	fwhm_y	fwhm_z	gcor	gsr_x	gsr_y	size_t	size_x	size_y	size_z	snr	spacing_tr	spacing_x	spacing_y	spacing_z	summary_bg_k	summary_bg_mad	summary_bg_mean	summary_bg_median	summary_bg_n	summary_bg_p05	summary_bg_p95	summary_bg_stdv	summary_fg_k	summary_fg_mad	summary_fg_mean	summary_fg_median	summary_fg_n	summary_fg_p05	summary_fg_p95	summary_fg_stdv	tsnr
sub-5384_ses-wave3_task-rest_bold	0.021405720000000003	0.054141811600000006	0	51.692303883734986	1.172724028273092	1.079103574658634	0.3934781923798965	15497.9677734375	0.6489888414687794	169	67.6	2.5702253989667487	2.3615462999495045	2.844709896950743	2.50442	0.052677	-0.021126648411154747	0.0018516588024795055	250	104	104	60	5.940274315241429	1.5	2.451923131942749	2.451923131942749	2.5	60.83551923693925	32.51643633556234	168.94210815429688	52.388004302978516	487495.0	23.54400062561035	667.3212158203124	433.05255126953125	6.207398104047851	796.7387046097056	6486.9697265625	6599.46826171875	86525.0	4630.35703125	7880.6146484375	1110.9638671875	24.685872761998326
sub-5448_ses-wave1_task-rest_bold	0.009152519999999999	0.047070368	0	46.879325307670655	1.125604709879519	1.0386786356224893	0.37864415972248494	18559.291015625	0.3847117098398665	132	52.8	2.512948981066424	2.36322661363729	2.789508329561982	2.386112	0.0381696	-0.011022708378732204	0.008052872493863106	250	104	104	60	5.944555078677023	1.5	2.451923131942749	2.451923131942749	2.5	84.7921536405597	2.7872923404608905	9.098628997802734	3.820000171661377	485982.0	1.1759999990463257	29.88800048828125	20.681852340698242	5.543183671656282	62.04392569522916	515.95068359375	525.7360229492188	86201.0	365.4040222167969	631.052001953125	88.43941497802734	26.56009849498514
sub-5448_ses-wave3_task-rest_bold	0.005570400000000001	0.0355162936	0	35.26368588534137	1.1073934852610434	0.9712646453815266	0.39276668454009406	19110.73046875	0.28676163499690327	103	41.2	2.4717921972265757	2.327108026212475	2.7622725654672533	2.325996	0.0302472	-0.014230037108063698	0.002472338266670704	250	104	104	60	6.086876062802564	1.5	2.451923131942749	2.451923131942749	2.5	62.17815316821161	26.959635936089267	136.26748657226562	45.54800033569336	480991.0	21.788000106811523	507.30601501464844	360.0256042480469	6.169556212795753	757.527205993809	6270.9931640625	6382.63623046875	89957.0	4539.542578125	7604.68193359375	1048.583984375	34.531759245553985
sub-5449_ses-wave1_task-rest_bold	0.00469428	0.032357972400000004	0	39.64241164188757	1.1587795055020087	1.0153061140963857	0.3813129481834728	20056.642578125	0.27871228359237604	128	51.2	2.535457477807205	2.3259334380035375	2.8256309954180776	2.454808	0.0352485	-0.018047671765089035	0.003344099037349224	250	104	104	60	5.9092320153338695	1.5	2.451923131942749	2.451923131942749	2.5	53.141398745664866	2.6331015740000208	12.036798477172852	3.880000114440918	489368.0	1.5560001134872437	45.46000289916992	30.973464965820312	5.941864238779306	65.64966967103993	544.1602783203125	557.176025390625	83796.0	377.9810104370117	660.1820526123047	94.28851318359375	35.036400351673365
sub-5449_ses-wave2_task-rest_bold	0.0105254	0.0679412868	0	58.39372827919681	1.0568284046987957	1.0122177085140565	0.3973610052457109	8372.2490234375	0.7948070743221185	213	85.2	2.794546127298574	2.5401367273145925	3.1600256545811303	2.6834759999999998	0.0458239	-0.01972125843167305	0.007049132604151964	250	104	104	60	5.204866812860123	1.5	2.451923131942749	2.451923131942749	2.5	42.6419505982219	4.892588310812246	16.02577781677246	6.4120001792907715	488277.0	2.2720000743865967	54.84480209350567	32.69626998901367	4.852066600870531	75.65424844763666	569.8184204101562	589.1920166015625	85337.0	349.6504089355469	703.0880371093749	113.19954681396484	18.747438273509033
sub-5459_ses-wave1_task-rest_bold	0.0016438000000000002	0.0209285232	0	30.31846440176705	1.1669684156626505	1.019300865903614	0.3761900464467717	16613.90234375	0.15849331945914283	58	23.2	2.5761332673222475	2.4096840243595192	2.9203117776072234	2.398404	0.0111079	-0.018810689449310303	-0.0009423666633665562	250	104	104	60	5.986372314846808	1.5	2.451923131942749	2.451923131942749	2.5	56.31267789995316	2.6093802439105773	10.646997451782227	3.492000102996826	496368.0	1.1640000343322754	38.204002380371094	25.884517669677734	6.388358534754159	49.109750634269055	444.52801513671875	456.9480285644531	78223.0	306.3592163085938	534.979638671875	76.33088684082031	48.933952093007974
sub-5459_ses-wave2_task-rest_bold	0.0008154	0.024365994000000002	0	32.56621114895584	1.1720400862650604	1.0097379128915667	0.3769411152094301	15967.501953125	0.128244529576678	17	6.8	2.5269067059945187	2.3576840255263676	2.8702000924571895	2.352836	0.0122357	-0.017294887453317642	0.003155071521177888	250	104	104	60	6.109683679292167	1.5	2.451923131942749	2.451923131942749	2.5	57.33672485380518	2.846596372644328	10.498906135559082	3.448000192642212	496382.0	1.027999997138977	36.68400192260742	25.6094913482666	6.6232217721864615	46.138573800625686	431.9803466796875	441.8440246582031	77697.0	303.7464172363281	520.481640625	72.31817626953125	45.22554305009544
sub-5459_ses-wave3_task-rest_bold	0.00089592	0.0216767112	0	28.79015965425704	1.1997051555823293	1.0450879751405626	0.37708482077121835	18340.7265625	0.1697131471299379	104	41.6	2.613782835546472	2.461977670244905	2.921926836394512	2.4574439999999997	0.0114039	-0.015388259664177895	-0.0003000356664415449	250	104	104	60	5.967316293761751	1.5	2.451923131942749	2.451923131942749	2.5	64.85691064740135	24.415493945163544	124.11772155761719	37.75600051879883	495406.0	17.57200050354004	464.4990234375	315.8213806152344	6.085775284708884	535.6526711089284	5054.4228515625	5200.6123046875	78452.0	3375.1451660156254	6068.94130859375	871.5105590820312	52.3366095260717
sub-5496_ses-wave1_task-rest_bold	0.031534519999999996	0.0880672444	0	80.05588009855416	1.192812481405621	1.2042903317670681	0.4030163376739917	10681.3779296875	0.9322878749718805	175	70.0	2.7391922459248708	2.4994788458739894	3.0697658919006225	2.648332	0.0998339	-0.01696210540831089	0.015824049711227417	250	104	104	60	5.489344637806481	1.5	2.451923131942749	2.451923131942749	2.5	71.67058660891873	5.503419276733792	16.267894744873047	6.492000102996826	479038.0	1.5880000591278076	59.47600173950195	34.731170654296875	3.8642812092747727	83.76702534556651	650.7019653320312	672.4320068359375	92825.0	426.656005859375	803.8360595703125	122.49702453613281	14.996142382733524
sub-5506_ses-wave1_task-rest_bold	0.019898879999999997	0.026722233600000003	0	43.94596935566268	1.3644549334136549	1.159162301124499	0.3823319306715514	22379.84375	0.22052432454939871	45	18.0	2.452021871237809	2.272877125468599	2.7083964882448277	2.3747920000000002	0.0902522	-0.014096038416028023	0.0061328960582613945	250	104	104	60	6.150211496219959	1.5	2.451923131942749	2.451923131942749	2.5	59.57281151348317	2.668683922614101	11.291043281555176	3.824000120162964	486275.0	1.3960000276565552	40.42400360107422	28.468149185180664	5.360073324147475	70.60151040596811	574.3610229492188	582.4760131835938	86241.0	425.02801513671875	702.5440063476562	94.7077407836914	33.89863947033882
